Gene,Coassociation Frequency,New
PCDHA12,0.926514345482,1
RP11-328J2.1,0.926505328837,1
RPS3A,0.9263971291,1
RP11-328L11.1,0.926379095811,1
ZNF543,0.926099579824,1
RP11-439L18.1,0.92607252989,1
GCNT1P1,0.925946296864,1
CTD-2336O2.2,0.925865147061,1
RP1-97D16.1,0.925838097127,1
RP11-110J1.2,0.925829080483,1
ACTL7B,0.925793013904,1
RPS15AP12,0.925783997259,1
MAPK8,0.92559464772,1
SPACA5B,0.925522514562,1
SNORA42,0.925522514562,1
RP11-118F19.1,0.92540529818,1
RNA5SP165,0.925387264891,1
MIR569,0.925387264891,1
RP11-218C14.5,0.925387264891,1
FAU,0.924981515878,1
ANP32D,0.924981515878,1
OTUD7A,0.924873316142,1
CRABP1,0.924855282852,1
RP11-676J12.8,0.924548716931,1
RP11-307I14.2,0.924530683642,1
SCMH1,0.924485600418,1
RP11-76E16.2,0.924458550484,1
RP11-256K7.1,0.924314284169,1
NEMF,0.924287234234,0
CTD-3138B18.4,0.9242601843,1
CDC27,0.924161001208,1
RPL10AP2,0.924097884695,1
CENPW,0.924079851406,1
RP11-568J23.6,0.924079851406,1
RP5-1021I20.5,0.923989684958,1
CTAG2,0.923845418643,1
MIR7845,0.923836401998,1
MTND1P8,0.923836401998,1
RP11-10J21.5,0.923836401998,1
NEMP2,0.923665085748,1
SNX6,0.923412619696,1
EXOSC6,0.923376553117,1
PRKAA1,0.92294375417,1
PNMA6A,0.922880637657,1
RPL34P22,0.922871621012,1
LMTK3,0.922610138315,1
MTHFD2P1,0.92229455575,1
GAPDHP19,0.922186356013,1
RP11-376N17.4,0.922186356013,1
LINC01526,0.922186356013,1
AC138744.2,0.922159306079,1
TBC1D8,0.922069139632,1
RP11-401L13.4,0.921960939895,1
LINC00528,0.92164535733,1
COL27A1,0.921492074369,1
ASAP2,0.921483057725,1
ARMCX6,0.921401907922,1
MAP2K1,0.921023208844,0
F2RL3,0.92097812562,1
SNX7,0.92096009233,1
MIRLET7G,0.920662543054,1
FAM182A,0.920509260094,1
MKRN2,0.920364993779,1
NNAT,0.920355977134,1
RP5-1009N12.1,0.920256794042,1
CTC-499B15.1,0.920193677529,1
SETP16,0.920193677529,1
KRT18P9,0.920193677529,1
RP13-359K18.1,0.920193677529,1
SNORA36C,0.920193677529,1
CTAG1B,0.920193677529,1
MIR545,0.920193677529,1
PATE1,0.920193677529,1
